,ZCTA,percent_pos,median_inc,perc_minority,perc_majority,majority,perc_blue,perc_white,white_collar,log_percent_pos,best_fit_lin,best_fit_log,perc_wfh,perc_non_ess,perc_ess
65,10460,0.023409797000000003,23644.951,0.753188743,0.24681125699999995,0,0.463,0.5369999999999999,1,-3.7546006690248177,0.023790075095265116,-3.7177924220755014,0.31,0.3730000000000001,0.317
66,10461,0.033268452000000004,47715.8304,0.40849867400000006,0.5915013259999999,1,0.739,0.261,0,-3.403145718438199,0.02068929628949563,-3.9390113126068833,0.20500000000000002,0.126,0.667
67,10462,0.025848142,46085.2485,0.676857912,0.323142088,0,0.724,0.276,0,-3.6555165568198147,0.020899345690374244,-3.924025756290293,0.233,0.166,0.6000000000000002
68,10463,0.022337443999999998,52301.5618,0.48711196200000006,0.5128880379999999,1,0.6500000000000001,0.34999999999999987,0,-3.801490905494697,0.020098568443712328,-3.9811556146793254,0.236,0.21799999999999997,0.545
70,10465,0.0304038,61446.3421,0.30800378900000003,0.691996211,1,0.54,0.45999999999999996,0,-3.49318767838181,0.018920549956458463,-4.065198998325676,0.30100000000000005,0.171,0.528
71,10466,0.028794547,48469.7389,0.899606271,0.10039372899999999,0,0.7080000000000001,0.2919999999999999,0,-3.547569250045148,0.02059217879497279,-3.94593996690159,0.17700000000000002,0.13,0.692
72,10467,0.028014498999999998,35375.4334,0.734009891,0.265990109,0,0.84,0.16000000000000003,0,-3.575033081401613,0.022278969887892762,-3.8255992146235918,0.106,0.084,0.81
73,10468,0.026955892000000002,28765.1143,0.752204249,0.24779575099999995,0,0.45699999999999996,0.543,1,-3.613553378435351,0.023130502439904683,-3.764848320023521,0.495,0.24400000000000002,0.263
74,10469,0.034926222,57183.0515,0.773528837,0.22647116300000003,0,0.696,0.30400000000000005,0,-3.3545173851885157,0.019469741405413844,-4.026018027789765,0.249,0.196,0.553
75,10470,0.025401762999999997,53207.5286,0.515399203,0.484600797,0,0.7180000000000001,0.2819999999999999,0,-3.6729366979175517,0.0199818630003636,-3.9894817321852054,0.259,0.115,0.626
77,10472,0.024289203,32631.8405,0.751122698,0.24887730200000002,0,0.5790000000000001,0.42099999999999993,0,-3.717723348363108,0.022632395891762802,-3.8003847400162463,0.375,0.21100000000000002,0.41300000000000003
78,10473,0.028233992000000003,36132.1114,0.7657683820000001,0.23423161799999992,0,0.5619999999999999,0.43800000000000006,0,-3.5672286368664894,0.02218149563004774,-3.8325533214872367,0.279,0.254,0.466
79,10474,0.023253896,24244.2862,0.769399886,0.23060011400000002,0,0.8580000000000001,0.1419999999999999,0,-3.761282591094565,0.023712869528537395,-3.7233004995244876,0.078,0.18,0.743
80,10475,0.035109239,47895.0222,0.784466541,0.21553345899999998,0,0.6599999999999999,0.3400000000000001,0,-3.349290963773239,0.020666213039134296,-3.9406581411472783,0.30600000000000005,0.343,0.352
81,11004,0.033083891000000004,75303.738,0.500285388,0.499714612,0,0.922,0.07799999999999996,0,-3.408708791801841,0.0171354585688178,-4.19255278942365,0.055,0.041999999999999996,0.904
82,11101,0.017841094,39955.099,0.5746350659999999,0.4253649340000001,0,0.749,0.251,0,-4.026250830840489,0.02168902343043215,-3.867687770101824,0.18500000000000003,0.28900000000000003,0.526
83,11102,0.016883117,48399.4866,0.44262150999999994,0.5573784900000001,1,0.827,0.17300000000000004,0,-4.081441150463116,0.02060122860321937,-3.9452943263495763,0.135,0.148,0.717
84,11103,0.012672939,52494.8702,0.321170706,0.678829294,1,0.6809999999999999,0.31900000000000006,0,-4.368286346276577,0.020073666711634474,-3.982932179177355,0.169,0.246,0.585
85,11104,0.015735671,50944.0617,0.457660105,0.542339895,1,0.791,0.20899999999999996,0,-4.151825105587253,0.020273439808773882,-3.96867976529186,0.161,0.133,0.706
86,11105,0.01142261,54570.0826,0.245039248,0.754960752,1,0.7680000000000001,0.23199999999999987,0,-4.472160554457218,0.01980634059859724,-4.002004028490221,0.174,0.19,0.635
87,11106,0.014336731,44030.5142,0.45453376300000004,0.545466237,1,0.6869999999999999,0.31300000000000006,0,-4.244930433536141,0.02116403384168988,-3.9051421071045147,0.248,0.254,0.49800000000000005
88,11109,0.007691022,117750.0,0.3332387170000001,0.6667612829999999,1,0.512,0.488,0,-4.8677016044250285,0.011667587312159902,-4.582647178199673,0.385,0.36300000000000004,0.253
89,11201,0.008484154,92174.8101,0.328821781,0.671178219,1,0.6920000000000001,0.30799999999999994,0,-4.769555090629262,0.014962149404288942,-4.3476032049077205,0.243,0.102,0.654
90,11203,0.023048071,47788.2901,0.964515452,0.035484548000000005,0,0.607,0.393,0,-3.77017320067706,0.020679962126904445,-3.9396772398534896,0.366,0.084,0.551
91,11204,0.021850399,42763.549000000006,0.33617887,0.66382113,1,0.6539999999999999,0.3460000000000001,0,-3.8235360967377003,0.02132724262083434,-3.8934983016901654,0.29200000000000004,0.23099999999999998,0.478
92,11205,0.01315561,42903.7942,0.543254223,0.45674577699999996,0,0.536,0.46399999999999997,0,-4.3309069953635015,0.021309176419905637,-3.894787198827274,0.40700000000000003,0.167,0.42500000000000004
93,11206,0.014703053,26439.5376,0.5771881919999999,0.42281180800000007,0,0.784,0.21599999999999997,0,-4.219700119686592,0.023430080150495157,-3.743475544693193,0.16999999999999998,0.192,0.6380000000000001
94,11207,0.018549124,34729.0604,0.886085709,0.11391429099999995,0,0.7400000000000001,0.2599999999999999,0,-3.9873327147634443,0.022362234801721444,-3.819658845119292,0.194,0.25499999999999995,0.552
95,11208,0.019359416,33875.818,0.843356022,0.15664397799999996,0,0.7120000000000002,0.2879999999999998,0,-3.9445763628779438,0.022472148357688324,-3.811817281296645,0.181,0.21399999999999997,0.6060000000000001
96,11209,0.014349128000000001,56906.5301,0.22900962900000002,0.770990371,1,0.649,0.351,0,-4.244066105173391,0.01950536252594763,-4.023476709863666,0.28,0.318,0.402
97,11210,0.021584129,55000.8962,0.6670107089999999,0.3329892910000001,0,0.5840000000000001,0.4159999999999999,0,-3.835797002885227,0.019750843761198053,-4.005963339865352,0.311,0.227,0.4620000000000001
98,11211,0.016906377,37632.4577,0.239499761,0.760500239,1,0.692,0.30800000000000005,0,-4.0800643909488095,0.021988223006682153,-3.8463419720131853,0.225,0.299,0.474
99,11212,0.01962706,27911.2921,0.9547692299999999,0.04523077000000009,0,0.661,0.33899999999999997,0,-3.93084605266957,0.023240490684939698,-3.7570014276580075,0.24,0.154,0.608
100,11213,0.018100913,35084.8797,0.804083616,0.195916384,0,0.526,0.474,0,-4.011792899993561,0.022316398630728717,-3.822928935483155,0.268,0.21000000000000002,0.52
101,11214,0.013857508999999999,35963.5161,0.42444996,0.57555004,1,0.7109999999999999,0.28900000000000015,0,-4.278928027202728,0.022203213853312666,-3.831003878087391,0.20400000000000001,0.27,0.527
102,11215,0.007540339,81331.0535,0.236013105,0.7639868949999999,1,0.7290000000000001,0.2709999999999999,0,-4.887488137760751,0.016359027768450538,-4.247945699073332,0.14700000000000002,0.231,0.621
103,11216,0.010779996000000002,37290.3205,0.8725973930000002,0.12740260699999983,0,0.619,0.381,0,-4.5300630845588685,0.02203229666767292,-3.8431976244164163,0.273,0.30999999999999994,0.41800000000000004
104,11217,0.011495641000000001,72610.5963,0.406315321,0.593684679,1,0.642,0.358,0,-4.465787358946331,0.01748238551591945,-4.167801977082419,0.218,0.231,0.551
105,11218,0.019447576,48010.6089,0.42621643200000003,0.573783568,1,0.789,0.21099999999999997,0,-3.94003284393366,0.020651323313518835,-3.9417204189772352,0.169,0.18600000000000003,0.6450000000000001
106,11219,0.026744858,34969.9857,0.317780116,0.682219884,1,0.756,0.244,0,-3.6214130484166454,0.02233119912364756,-3.821873023782284,0.186,0.17400000000000002,0.6390000000000001
107,11220,0.013100802,37030.1129,0.693849275,0.30615072499999996,0,0.803,0.19699999999999995,0,-4.335081829274937,0.022065816266096074,-3.840806235401363,0.13,0.21100000000000002,0.6580000000000001
108,11221,0.012643884,34005.1582,0.825388173,0.174611827,0,0.515,0.485,0,-4.370581658982776,0.022455486924417466,-3.813005958081969,0.238,0.23600000000000002,0.525
109,11222,0.010358435,54366.9033,0.164590892,0.835409108,1,0.7310000000000001,0.2689999999999999,0,-4.569954115337842,0.019832513886940458,-4.00013674734199,0.154,0.20800000000000002,0.6379999999999999
110,11223,0.0175696,39420.9802,0.338761097,0.661238903,1,0.662,0.33799999999999997,0,-4.041585143120825,0.021757827906881938,-3.8627790517129164,0.22500000000000003,0.23199999999999998,0.5429999999999999
111,11224,0.020061233,34958.4279,0.406669328,0.593330672,1,0.617,0.383,0,-3.90896603273409,0.02233268798413686,-3.82176680399486,0.2,0.2,0.601
112,11225,0.017102001000000002,39782.409,0.8345914950000001,0.16540850499999993,0,0.36000000000000004,0.6399999999999999,1,-4.068559804775682,0.021711269127528215,-3.866100695131648,0.394,0.23900000000000002,0.368
113,11226,0.018498758,38763.3706,0.901350765,0.098649235,0,0.638,0.362,0,-3.990051684286657,0.021842540304641306,-3.85673541434939,0.20900000000000002,0.329,0.4620000000000001
114,11228,0.01260168,55200.2725,0.318632143,0.681367857,1,0.617,0.383,0,-4.373925140579471,0.019725160370278286,-4.007795670257247,0.29100000000000004,0.211,0.49700000000000005
115,11229,0.015834479,49910.6032,0.287347847,0.7126521530000001,1,0.7790000000000001,0.22099999999999986,0,-4.14556550133262,0.02040656856407155,-3.959181959292291,0.16499999999999998,0.177,0.6590000000000001
116,11230,0.02174572,47496.1618,0.286454958,0.713545042,1,0.8,0.19999999999999996,0,-3.8283383224206804,0.02071759370762706,-3.936992489647861,0.15000000000000002,0.131,0.7190000000000001
117,11231,0.009380366999999999,73074.9877,0.311465083,0.688534917,1,0.6890000000000001,0.31099999999999994,0,-4.6691363909298245,0.0174225632307934,-4.172069878914054,0.17600000000000002,0.20400000000000001,0.621
118,11232,0.015252518,34807.855,0.572227135,0.427772865,0,0.774,0.22599999999999998,0,-4.183010674804558,0.022352084585701953,-3.820382992073053,0.14400000000000002,0.171,0.685
119,11233,0.014059022,35422.5954,0.9458786339999999,0.05412136600000006,0,0.752,0.248,0,-4.264490954051677,0.022272894541512284,-3.8260326481156492,0.196,0.13799999999999998,0.6650000000000001
120,11234,0.020947881,67952.9473,0.5216905780000001,0.47830942199999993,0,0.7690000000000001,0.23099999999999987,0,-3.8657177833142753,0.018082377691689876,-4.124996729831477,0.162,0.34,0.499
121,11235,0.021925557999999998,44729.670999999995,0.219494011,0.780505989,1,0.85,0.15000000000000002,0,-3.8201022906486584,0.021073969388650013,-3.911567576196578,0.122,0.132,0.745
